Complete Secondary School List | Property Review SG

| Secondary School | Chinese Name | Nature | Sch Type | PSLE 2020 (Aff.)Integ. | PSLE 2020 (Aff.)Exp. | PSLE 2020 (Aff.)N(Acad) | PSLE 2020 (Aff.)N(Tech) | PSLE 2020 (Non-Aff.)Integ. | PSLE 2020 (Non-Aff.)Exp. | PSLE 2020 (Non-Aff.)N(Acad) | PSLE 2020 (Non-Aff.)N(Tech) | IntegratedProgramme | Address |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Mayflower Secondary School | 美华中学 | Co-Ed | Gov Sch | 2 Ang Mo Kio Street 21, S569384 |
| Meridian Secondary School | 美廉中学 | Co-Ed | Gov Sch | 31 Pasir Ris Street 51, S518901 |
| Methodist Girls' School (Secondary) | 美以美中学 | Girls | Independent Sch | 11 Blackmore Drive, S599986 |
| Montfort Secondary School | 蒙福中学 | Boys | Gov-Aided Sch | 50 Hougang Avenue 8, S538785 |
| Nan Chiau High School | 南侨中学 | Co-Ed | Gov-Aided Sch | 20 Anchorvale Link, S545079 |
| Nan Hua High School | 南华中学 | Co-Ed | Gov Sch / Auto. | 41 Clementi Avenue 1, S129956 |
| Nanyang Girls' High School | 南洋女子中学 | Girls | Independent Sch | 2 Linden Drive, S288683 |
| National Junior College (Secondary) | 国家初级学院 | Co-Ed | Gov Sch | 37 Hillcrest Road, S288913 |
| Naval Base Secondary School | 军港中学 | Co-Ed | Gov Sch | 901 Yishun Ring Road, S768689 |
| New Town Secondary School | 光伟中学 | Co-Ed | Gov Sch | 1020 Dover Road, S139657 |
| Ngee Ann Secondary School | 义安中学 | Co-Ed | Gov-Aided Sch/ Auto. | 1 Tampines Street 32, S529283 |
| North Vista Secondary School | 德新中学 | Co-Ed | Gov Sch | 11 Rivervale Link, S545081 |
| Northbrooks Secondary School | 思源中学 | Co-Ed | Gov Sch | 585 Yishun Ring Road, S768692 |
| Northland Secondary School | 德景中学 | Co-Ed | Gov Sch | 3 Yishun Street 22, S768578 |
| Northlight School | 北烁学校 | Co-Ed | Spec. Sch | 151 Towner Road, S327830 |
| NUS High School of Mathematics and Science | 国大数理中学 | Co-Ed | Spec. Independent Sch | 20 Clementi Avenue 1, S129957 |
| Orchid Park Secondary School | 兰景中学 | Co-Ed | Gov Sch | 10 Yishun Street 81, S768454 |
| Outram Secondary School | 欧南中学 | Co-Ed | Gov Sch | 3 York Hill, S168622 |
| Pasir Ris Crest Secondary School | 励志中学 | Co-Ed | Gov Sch | 11 Pasir Ris Street 41, S518934 |
| Pasir Ris Secondary School | 思励中学 | Co-Ed | Gov Sch | 390 Tampines Street 21, S529400 |
| Paya Lebar Methodist Girls' School (Secondary) | 巴耶利峇美以美女中 | Girls | Gov-Aided Sch/ Auto. | 296 Lor Ah Soo, S536742 |
| Pei Hwa Secondary School | 培华中学 | Co-Ed | Gov Sch | 21 Fernvale Link, S797702 |
| Peicai Secondary School | 培才中学 | Co-Ed | Gov Sch | 10 Serangoon Avenue 4, S556094 |
| Peirce Secondary School | 培雅中学 | Co-Ed | Gov Sch | 10 Sin Ming Walk, S575566 |
| Presbyterian High School | 长老会中学 | Co-Ed | Gov-Aided Sch | 5209 Ang Mo Kio Avenue 6, S569845 |
| Punggol Secondary School | 培道中学 | Co-Ed | Gov Sch | 51 Edgefield Plains, S828870 |
| Queenstown Secondary School | 女皇镇中学 | Co-Ed | Gov Sch | 1 Strathmore Road, S148800 |
| Queensway Secondary School | 女皇道中学 | Co-Ed | Gov Sch | 2A Margaret Drive, S149295 |
| Raffles Girls' School (Secondary) | 莱佛士女子中学 | Girls | Independent Sch | 2 Braddell Rise, S318871 |
| Raffles Institution (Secondary) | 莱佛士书院 | Co-Ed | Independent Sch | 1 Raffles Institution Lane, S575954 |
| Regent Secondary School | 励正中学 | Co-Ed | Gov Sch | 50 Choa Chu Kang North 5, S689621 |
| River Valley High School (Secondary) | 立化中学 | Co-Ed | Gov Sch / Auto. | 6 Boon Lay Avenue, S649961 |
| Riverside Secondary School | 立德中学 | Co-Ed | Gov Sch | 3 Woodlands Street 81, S738524 |
| School of Science and Technology, Singapore | 新科技中学 | Co-Ed | Spec. Independent Sch | 1 Technology Drive, S138572 |
| School of the Arts, Singapore | 新加坡艺术学院 | Co-Ed | Spec. Independent Sch | 1 Zubir Said Drive, S227968 |
| Sembawang Secondary School | 胜宝旺中学 | Co-Ed | Gov Sch | 30 Sembawang Crescent, S757704 |
| Seng Kang Secondary School | 成康中学 | Co-Ed | Gov Sch | 10 Compassvale Lane, S545090 |
| Serangoon Garden Secondary School | 实勤中学 | Co-Ed | Gov Sch | 21 Serangoon North Avenue 1, S555889 |
| Serangoon Secondary School | 实仁中学 | Co-Ed | Gov Sch | 11 Upper Serangoon View, S534237 |
| Singapore Chinese Girls' School | 新加坡女子学校 | Girls | Independent Sch | 190 Dunearn Road, S309437 |
| Singapore Sports School | 新加坡体育学校 | Co-Ed | Spec. Independent Sch | 1 Champions Way, S737913 |
